STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNWD,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530808,166, , ,Q,9999,-9999, , , ,9999,214, , ,Q,9999,162, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530809,27, , ,Q,9999,-9999, , , ,9999,235, , ,Q,9999,150, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530810,21, , ,Q,9999,-9999, , , ,9999,217, , ,Q,9999,135, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530811,3, , ,Q,9999,-9999, , , ,9999,222, , ,Q,9999,125, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530812,285, , ,Q,9999,-9999, , , ,9999,238, , ,Q,9999,150, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530813,80, , ,Q,9999,-9999, , , ,9999,242, , ,Q,9999,150, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530814,146, , ,Q,9999,-9999, , , ,9999,214, , ,Q,9999,150, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530815,55, , ,Q,9999,-9999, , , ,9999,238, , ,Q,9999,125, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530816,289, , ,Q,9999,-9999, , , ,9999,246, , ,Q,9999,132, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530817,41, , ,Q,9999,-9999, , , ,9999,237, , ,Q,9999,146, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530818,85, , ,Q,9999,-9999, , , ,9999,240, , ,Q,9999,145, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530819,28, , ,Q,9999,-9999, , , ,9999,237, , ,Q,9999,150, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530820,57, , ,Q,9999,-9999, , , ,9999,262, , ,Q,9999,140, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530821,0, , ,Q,9999,-9999, , , ,9999,227, , ,Q,9999,150, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530822,160, , ,Q,9999,-9999, , , ,9999,238, , ,Q,9999,150, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530823,81, , ,Q,9999,-9999, , , ,9999,258, , ,Q,9999,135, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530824,0, , ,Q,9999,-9999, , , ,9999,257, , ,Q,9999,116, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530825,60, , ,Q,9999,-9999, , , ,9999,257, , ,Q,9999,146, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530826,0, , ,Q,9999,-9999, , , ,9999,254, , ,Q,9999,145, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530827,0, , ,Q,9999,-9999, , , ,9999,262, , ,Q,9999,85, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530828,380, , ,Q,9999,-9999, , , ,9999,267, , ,Q,9999,100, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530829,0, , ,Q,9999,-9999, , , ,9999,255, , ,Q,9999,133, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530830,0, , ,Q,9999,-9999, , , ,9999,244, , ,Q,9999,140, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530831,0, , ,Q,9999,-9999, , , ,9999,260, , ,Q,9999,135, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530901,0, , ,Q,9999,-9999, , , ,9999,263, , ,Q,9999,125, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530902,0, , ,Q,9999,-9999, , , ,9999,272, , ,Q,9999,124, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530903,0, , ,Q,9999,-9999, , , ,9999,272, , ,Q,9999,109, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530904,22, , ,Q,9999,-9999, , , ,9999,262, , ,Q,9999,110, , ,Q,9999
